Date,Latitude,Longitude,count_1,count_2,count_3
9/1/2010,19.9432,-64.5649,"58,102.96","21,259.89","2,226.17"
9/1/2010,20.2173,-64.3828,"6,639.79","4,031.30","1,067.11"
9/1/2010,20.4521,-64.1968,"15,246.71","12,147.79",991.66
10/1/2010,21.1293,-63.8333,"5,347.35","6,851.29","1,420.39"
10/1/2010,21.4730,-63.5899,"4,090.58","5,317.76",409.06
10/1/2010,21.7367,-63.4227,"44,914.59","46,144.76","33,133.71"
11/1/2010,22.1500,-63.1474,"17,324.82","4,519.52",502.17
11/1/2010,22.8418,-62.7592,"10,467.48","10,329.75",413.19
12/1/2010,24.3576,-62.8129,"7,434.53","9,436.14",190.63
12/1/2010,24.3576,-62.8129,0.00,"1,510.37",704.84
13/01/2010,24.7657,-62.7221,377.59,"1,636.23",377.59
13/01/2010,25.3751,-62.4785,"3,126.56","2,918.12",416.87
13/01/2010,25.5607,-62.4387,"428,395.48","132,757.97","119,370.62"
14/01/2010,26.0914,-61.7168,0.00,"2,111.27",351.88
15/01/2010,29.2490,-62.9857,"4,682.38","14,983.63","1,560.79"
15/01/2010,29.7453,-63.2167,"3,020.74","35,544.01","3,725.58"
16/01/2010,30.5477,-63.7064,"31,985.11","157,152.30","4,991.90"
17/01/2010,31.1813,-64.0147,"1,173.82","10,137.53","1,814.08"
17/01/2010,31.5350,-64.2677,"9,953.75","31,224.77","2,590.70"
18/01/2010,31.9644,-64.5448,"4,082.42","24,984.39","2,776.04"
28/01/2010,32.3200,-64.4322,"6,826.00","37,944.54","4,818.35"
28/01/2010,32.0790,-64.6316,0.00,"52,359.45","3,272.47"
29/01/2010,31.5865,-62.7727,"2,757.70","29,685.78",811.09
29/01/2010,31.2001,-62.0368,0.00,"14,085.83","2,134.22"
30/01/2010,30.8735,-61.3126,"5,454.11","85,973.98","7,032.93"
31/01/2010,30.0730,-58.7081,"3,346.84","40,533.95","5,454.11"
31/01/2010,30.0730,-58.7081,619.79,"2,107.27",371.87
1/2/2010,29.6835,-56.6993,434.88,"4,566.23",543.60
2/2/2010,29.5392,-54.9628,"2,727.05","64,494.84","2,999.76"
2/2/2010,29.2797,-53.6117,"31,002.30","36,799.48","1,638.33"
3/2/2010,28.9070,-51.8931,"2,680.58","27,452.85","1,756.24"
3/2/2010,28.7729,-51.0777,"43,126.42","99,927.07","4,558.08"
3/2/2010,28.5522,-50.1026,"1,431.70","26,997.84","1,636.23"
9/2/2010,35.6729,-35.0237,"3,151.26","8,241.76",0.00
9/2/2010,36.2937,-33.3888,"1,163.54","19,198.46","3,781.52"
28/08/2010,-23.4996,-39.2757,"13,612.36","9,487.40","2,681.22"
29/08/2010,-23.7290,-37.4867,"2,142.69","3,116.63",0.00
29/08/2010,-23.8868,-36.6933,"1,080.87","6,330.82",154.41
30/08/2010,-24.1104,-33.9573,"17,251.58","21,520.02","1,244.96"
31/08/2010,-23.0308,-30.8532,"8,264.64","16,028.40",0.00
1/9/2010,-22.2970,-29.2472,"1,051.23","2,803.27","1,051.23"
2/9/2010,-20.8268,-28.2509,"1,313.45","2,189.08",0.00
2/9/2010,-19.7983,-27.3385,"1,868.85","4,360.64",0.00
3/9/2010,-18.6150,-26.1638,194.67,584.01,0.00
3/9/2010,-17.8870,-25.0860,"1,816.80",0.00,0.00
4/9/2010,-16.9837,-23.7325,"1,968.85","3,281.42",0.00
4/9/2010,-16.2435,-22.5333,"1,006.30",503.15,335.43
5/9/2010,-13.9923,-20.7390,0.00,"4,488.90",320.64
10/11/2010,-26.4261,-41.0363,0.00,"1,973.57",845.81
11/11/2010,-26.3881,-39.9167,363.39,"5,087.42","1,453.55"
11/11/2010,-26.1893,-38.7646,503.15,"2,515.76",503.15
12/11/2010,-26.1310,-37.5873,0.00,"4,862.50",540.28
12/11/2010,-25.9968,-36.4999,"3,400.01","8,985.73",485.72
13/11/2010,-25.8957,-35.3693,"1,962.29","3,270.48",654.10
13/11/2010,-25.8010,-34.2127,0.00,"14,090.91",0.00
14/11/2010,-25.9165,-35.0814,"1,206.33","6,433.74","4,423.19"
14/11/2010,-26.0782,-31.9730,0.00,"8,328.91",0.00
16/11/2010,-26.3129,-31.0914,"1,022.03","7,767.40",817.62
17/11/2010,-26.4893,-30.0290,"2,289.34","9,320.88",654.10
18/11/2010,-26.7957,-29.0970,473.98,"1,895.93",0.00
18/11/2010,-26.6971,-28.0910,137.42,"2,336.06",549.66
19/11/2010,-27.3323,-26.8913,893.57,"3,797.69",446.79
19/11/2010,-27.8835,-25.8982,"1,514.11","3,677.13",216.30
20/11/2010,-28.5773,-24.9763,268.07,"3,216.87",804.22
21/11/2010,-29.5155,-24.6103,545.08,"2,725.40",0.00
23/11/2010,-29.9658,-23.4819,"1,054.99","7,121.21",527.50
23/11/2010,-30.6643,-22.6652,0.00,"2,725.40",817.62
24/11/2010,-31.2527,-21.7331,"3,270.48","11,298.03","1,189.27"
24/11/2010,-31.8705,-20.7480,837.73,"1,809.49",368.60
24/11/2010,-32.5913,-19.9480,"4,769.45","37,474.29","4,769.45"
25/11/2010,-33.4867,-19.0997,"8,687.22","38,325.98","4,088.10"
25/11/2010,-34.0419,-18.1859,817.62,"45,377.96",817.62
26/11/2010,-34.6048,-17.1887,"116,236.40","146,897.18","17,847.32"
26/11/2010,-34.3330,-15.9772,"11,290.95","71,249.82","4,672.12"
27/11/2010,-34.0650,-14.7850,"13,462.04","91,462.67","3,167.54"
27/11/2010,-33.5729,-13.7057,"24,543.49","53,600.73","5,360.07"
27/11/2010,-33.2573,-12.4862,"6,813.51","19,532.05","4,996.57"
27/11/2010,-32.9033,-11.3745,"36,419.37","95,534.88",527.82
28/11/2010,-32.6070,-10.2000,"123,897.43","51,918.92","37,759.22"
28/11/2010,-32.3348,-9.2109,"74,613.49","113,930.77","15,637.56"
29/11/2010,-31.6387,-8.0787,"49,086.98","107,718.66","10,908.22"
29/11/2010,-31.9295,-6.9890,"1,855.89","14,847.09","8,042.17"
30/11/2010,-32.2780,-5.9515,"65,449.31","58,904.38","11,453.63"
30/11/2010,-32.6180,-4.8462,0.00,"55,189.41","3,406.75"
30/11/2010,-32.8350,-3.6837,"1,635.24","3,815.56","8,721.29"
1/12/2010,-33.0430,-2.4258,"47,450.75","83,993.28","6,544.93"
2/12/2010,-33.2157,-1.2692,"3,270.48","57,233.46","8,176.21"
2/12/2010,-33.4173,0.0825,"32,704.83","138,995.54","24,528.63"
2/12/2010,-33.6215,1.0787,"1,090.16","8,721.29","4,905.73"
3/12/2010,-33.8200,2.2640,"29,434.35","63,229.35","8,721.29"
3/12/2010,-34.0253,3.4618,"1,635.24","15,262.26",0.00
4/12/2010,-34.1586,4.8587,0.00,"13,030.83","3,066.08"
4/12/2010,-34.3584,6.2549,"19,089.38","59,995.20","2,727.05"
5/12/2010,-34.3065,7.1063,0.00,"17,442.58",0.00
5/12/2010,-34.0162,9.7782,"2,180.32","4,360.64",0.00
6/12/2010,-33.7817,11.3967,"54,508.06","80,275.50","8,919.50"
15/01/2011,-17.7225,-5.9518,0.00,"8,657.16","1,923.81"
15/01/2011,-19.1813,-5.9712,"1,923.81",961.91,480.95
16/01/2011,-20.8803,-5.9975,0.00,"3,692.48",263.75
17/01/2011,-22.5407,-6.1887,"2,336.06","11,346.57","1,001.17"
17/01/2011,-23.8528,-6.3298,"9,386.58","8,645.54",0.00
17/01/2011,-24.3825,-7.2670,"19,798.89","28,598.40","2,566.52"
18/01/2011,-24.9143,-8.2032,"25,126.88","33,502.51","1,994.20"
18/01/2011,-25.3823,-9.2272,"35,430.24","34,651.55","10,122.92"
18/01/2011,-25.8243,-10.2767,"204,626.19","245,286.25","30,937.00"
19/01/2011,-26.2905,-11.2880,"45,604.35","42,021.15","2,605.96"
19/01/2011,-26.8388,-12.2565,"18,937.54","34,568.53","3,607.15"
20/01/2011,-27.2220,-13.2660,"5,946.33","17,839.00",495.53
20/01/2011,-27.6412,-14.3013,"88,575.59","147,823.48","17,478.13"
20/01/2011,-28.0320,-15.3368,"29,236.14","45,093.03","3,964.22"
21/01/2011,-28.3865,-16.3898,"17,885.46","47,268.70","4,258.44"
21/01/2011,-28.8320,-17.4430,"70,126.71","73,585.88","13,207.72"
22/01/2011,-29.1203,-18.5112,"22,192.57","41,757.06","3,504.09"
22/01/2011,-29.5068,-19.5708,"31,239.29","63,249.91","7,713.40"
22/01/2011,-29.9482,-20.7120,"21,597.53","65,178.27","5,785.05"
23/01/2011,-30.2798,-21.8330,"51,047.23","63,160.13","7,786.87"
23/01/2011,-30.5678,-22.9272,"138,304.02","119,185.53","17,491.39"
23/01/2011,-30.8960,-24.0645,"211,384.90","167,844.93","43,539.97"
24/01/2011,-31.1353,-25.2230,"173,744.43","193,855.26","10,549.95"
24/01/2011,-31.4843,-26.3197,"24,186.85","24,186.85","2,366.11"
25/01/2011,-31.6642,-27.5227,"96,946.47","84,682.16","18,396.47"
25/01/2011,-31.9400,-28.6897,"47,474.76","42,199.79",0.00
26/01/2011,-32.4768,-29.7142,"82,179.24","90,939.46","21,274.83"
26/01/2011,-32.8310,-30.8133,"23,506.60","30,660.78","2,725.40"
27/01/2011,-33.2383,-32.0515,"26,607.32","36,030.75","1,940.12"
27/01/2011,-33.4538,-33.1737,"20,849.33","29,025.54","4,496.91"
27/01/2011,-33.6870,-34.3420,"7,432.92","14,542.66",323.17
28/01/2011,-33.9352,-35.5030,545.08,"2,725.40",272.54
