,Unnamed: 0,Day,Month,Year,Latitude,Longitude,X..km2,Total.Wieght..g..km.2,Source,Mesh.Size,Notes,CutOff,TopLim,Microplastics...km.2,Macroplastics....km.2,Microplastics.Weight..g...km.2,Macroplastics.Weight..g...km.2,Ship,CruiseNo,CruiseNoCode,StationNo,TimeLocal,TimeLocalFormatted,MonthUTC,DayUTC,YearUTC,TowAreaM2,CountPlasticFragments,CountPlasticPellets,CountTotalPlastics,FragmentDensityNoSqKm,PelletDensityNoSqKm,u10Mps,v10Mps,count_total
136,137,10.0,11.0,2007,18.9533,-155.7185,1443.34,2.16,C. Moore,335.0,Corrected,4750.0,,1443.34,0.0,2.16,0.0,,,,,,,,,,,,,,,,,,1443.34
137,138,25.0,11.0,2007,19.8962,-155.9993,725.75,1.27,C. Moore,335.0,Corrected,4750.0,,725.75,0.0,1.27,0.0,,,,,,,,,,,,,,,,,,725.75
138,139,25.0,1.0,2008,23.5707,-164.4812,1664.61,39.35,C. Moore,335.0,Corrected,4750.0,,1059.3,605.31,38.52,0.83,,,,,,,,,,,,,,,,,,1664.61
139,140,11.0,11.0,2007,19.2407,-155.1751,1410.55,7.52,C. Moore,335.0,Corrected,4750.0,,1253.82,156.73,3.76,3.76,,,,,,,,,,,,,,,,,,1410.55
140,141,10.0,11.0,2007,18.9173,-155.7009,2090.44,2.3,C. Moore,335.0,Corrected,4750.0,,1672.35,418.09,1.88,0.42,,,,,,,,,,,,,,,,,,2090.44
141,142,21.0,6.0,2009,24.6048,-146.387,2508.51,28.45,C. Moore,335.0,Corrected,4750.0,,2299.47,209.04,5.14,23.31,,,,,,,,,,,,,,,,,,2508.5099999999998
142,143,21.0,6.0,2009,24.4147,-146.6687,1893.48,49.44,C. Moore,335.0,Corrected,4750.0,,1472.71,420.77,4.84,44.6,,,,,,,,,,,,,,,,,,1893.48
143,144,23.0,1.0,2008,21.6499,-160.5483,1928.42,3.98,C. Moore,335.0,Corrected,4750.0,,1928.42,0.0,3.98,0.0,,,,,,,,,,,,,,,,,,1928.42
144,145,10.0,11.0,2007,18.1587,-155.9801,5101.64,8.16,C. Moore,335.0,Corrected,4750.0,,5101.64,0.0,8.16,0.0,,,,,,,,,,,,,,,,,,5101.64
145,146,21.0,6.0,2009,24.5445,-146.4777,4186.99,117.16,C. Moore,335.0,Corrected,4750.0,,3856.44,330.55,2.9,114.26,,,,,,,,,,,,,,,,,,4186.99
146,147,17.0,9.0,2009,31.3132,-158.7325,3073.7,13.21,C. Moore,335.0,Corrected,4750.0,,1993.75,1079.95,5.32,7.89,,,,,,,,,,,,,,,,,,3073.7
147,148,18.0,7.0,2009,39.2955,-179.7523,15650.92,115.81,C. Moore,335.0,Corrected,4750.0,,13564.13,2086.79,7.82,107.99,,,,,,,,,,,,,,,,,,15650.919999999998
148,149,12.0,11.0,2007,19.6952,-154.3368,3767.01,35.89,C. Moore,335.0,Corrected,4750.0,,2659.07,1107.94,10.63,25.26,,,,,,,,,,,,,,,,,,3767.01
149,150,23.0,1.0,2008,22.0117,-160.8771,4319.65,44.4,C. Moore,335.0,Corrected,4750.0,,3359.73,959.92,23.76,20.64,,,,,,,,,,,,,,,,,,4319.65
150,151,12.0,11.0,2007,19.8499,-154.435,3908.48,31.06,C. Moore,335.0,Corrected,4750.0,,3497.06,411.42,10.49,20.57,,,,,,,,,,,,,,,,,,3908.48
151,152,24.0,11.0,2007,19.0713,-155.4457,6363.12,51.36,C. Moore,335.0,Corrected,4750.0,,4772.34,1590.78,12.5,38.86,,,,,,,,,,,,,,,,,,6363.12
152,153,21.0,1.0,2008,19.2901,-156.0478,9427.82,5.14,C. Moore,335.0,Corrected,4750.0,,9427.82,0.0,5.14,0.0,,,,,,,,,,,,,,,,,,9427.82
